Mario Mario,mario_mario@example.com,mario123,123123123,regular
Luigi Mario,luigi_mario@example.com,luigi1234,123123123,regular
Peach Toadstool,peach_toadstool@example.com,peach_123,123123123,regular
Bowser Koopa,bowser_koopa@example.com,bowserk8,123123123,regular
Yoshi Dino,yoshi_dino@example.com,yoshidino,123123123,regular
Donkey Kong Jr.,donkey_kong_jr@example.com,donkeyjr,123123123,regular
Link Hyrule,link_hyrule@example.com,linkhero,123123123,regular
Zelda Hyrule,zelda_hyrule@example.com,zeldahyrule,123123123,regular
Ganondorf Dragmire,ganondorf_dragmire@example.com,ganonlord,123123123,regular
Samus Aran,samus_aran@example.com,samus_aran,123123123,regular
Kirby Star,kirby_star@example.com,kirbyhero,123123123,regular
Fox McCloud,fox_mccloud@example.com,foxpilot,123123123,regular
Pikachu Volt,pikachu_volt@example.com,pikachu99,123123123,regular
Jigglypuff Melodia,jigglypuff_melodia@example.com,jigglesong,123123123,regular
Marth Lowell,marth_lowell@example.com,marthfate,123123123,regular
Roy Blazing,roy_blazing@example.com,royblade,123123123,regular
Ike Greil,ike_greil@example.com,ikelegend,123123123,regular
Pit Angelos,pit_angelos@example.com,pitwingz,123123123,regular
Villager Oak,villager_oak@example.com,villager1,123123123,regular
Inkling Splash,inkling_splash@example.com,inklings8,123123123,regular
King K. Rool Kremling,king_k_rool@example.com,kingkreml,123123123,regular
Isabelle Shizue,isabelle_shizue@example.com,bellshizu,123123123,regular
Sephiroth Crescent,sephiroth_crescent@example.com,sephcres,123123123,regular
Steve Blockman,steve_blockman@example.com,stevemin8,123123123,regular
Pyra Mythos,pyra_mythos@example.com,pyraflame,123123123,regular
Mythra Aegis,mythra_aegis@example.com,mythpower,123123123,regular
Bayonetta Umbra,bayonetta_umbra@example.com,bayoumbra,123123123,regular
Cloud Strife,cloud_strife@example.com,cloudstr8,123123123,regular
Solid Snake,solid_snake@example.com,solidgame,123123123,regular
Wario Greed,wario_greed@example.com,warioman8,123123123,regular
Daisy Sarasaland,daisy_sarasaland@example.com,daisylove,123123123,regular
Rosalina Luma,rosalina_luma@example.com,rosaluma,123123123,regular
Little Mac Punch,little_mac_punch@example.com,littlpunch,123123123,regular
Shulk Monado,shulk_monado@example.com,shulkingz,123123123,regular
Ryu Hoshi,ryu_hoshi@example.com,ryu_fight,123123123,regular
Ken Masters,ken_masters@example.com,kenmaster,123123123,regular
Terry Bogard,terry_bogard@example.com,terryb8,123123123,regular
Min Min Noodle,min_min_noodle@example.com,minnoodle8,123123123,regular
Kazuya Mishima,kazuya_mishima@example.com,kazuyapwr,123123123,regular
Sora Keyblade,sora_keyblade@example.com,sorakeyz,123123123,regular
Kenshin Himura,kenshin_himura@example.com,kensword,123123123,regular
Kakashi Hatake,kakashi_hatake@example.com,kakashish,123123123,regular
Goku,goku@example.com,gokupower,123123123,regular
Naruto Uzumaki,naruto_uzumaki@example.com,narutosen,123123123,regular
Luffy D. Monkey,luffy_d_monkey@example.com,luffydmug,123123123,regular
Zoro Roronoa,zoro_roronoa@example.com,zorosword,123123123,regular
Ichigo Kurosaki,ichigo_kurosaki@example.com,ichigobleed,123123123,regular
Dazai Osamu,dazai_osamu@example.com,dazailit,123123123,regular
Sonic Hedgehog,supersonic@example.com,supersonic,123123213,regular
Saitama Punch,saitama@example.com,saitahero,123123123,regular
Genos Droid,genos@example.com,genoscannon,123123123,regular
Sakura Haruno,sakura_haruno@example.com,sakurahero,123123123,regular
Sasuke Uchiha,sasuke_uchiha@example.com,sasukeuchi,123123123,regular
Spike Spiegel,spike_spiegel@example.com,spikebounty,123123123,regular
