Frodo Bolson,frodobolson@middleearth.com,frodo,frodo123,regular
Samwise Gamgee,samwise@middleearth.com,sam,sam123,regular
Aragorn Elessar,aragorn@middleearth.com,aragorn,aragorn123,regular
Legolas Greenleaf,legolas@middleearth.com,legolas,legolas123,regular
Gimli SonOfGloin,gimli@middleearth.com,gimli,gimli123,regular
Gandalf TheGrey,gandalf@middleearth.com,gandalf,gandalf123,regular
Boromir OfGondor,boromir@middleearth.com,boromir,boromir123,regular
Elrond HalfElven,elrond@middleearth.com,elrond,elrond123,regular
Galadriel,galadriel@middleearth.com,galadriel,galadriel123,regular
Saruman TheWhite,saruman@middleearth.com,saruman,saruman123,regular
risto,risto@risto.com,risto,risto,moderator
